Question,Category
How does the age of code affect its quality, complexity, maintainbility, and security?,Code quality
What is the impact of coding guidelines on software quality, maintainability, and evolution?,Code quality
How can we objectively measure software quality?,Code quality
How did this ever work?,Code quality
How effective are the quality gates we run at checkin?,Code quality
How much code is left out of the final build because it does pass our quality bars?,Code quality
How much does software quality benefit from using a Capability Maturity Model (CMM)?,Code quality
What are causes of poor software quality (e.g. test case regressions)?,Code quality
What impact does code quality have on our ability to monetize a service?,Code quality
How do we measure complexity of a software component?,Code quality
How do code churn, number of bugs, test case regressions, and development costs correlate with one another?,Development cost
What is the best way to reduce the cost of application localization (e.g. time, number of employees, automation)?,Development cost
What is the cost of keeping legacy code (e.g., app compat, testability, bugginess)?,Development cost
What are the tradeoffs that affect the value of specifications (e.g., level of detail, effort estimation accuracy, number of misunderstandings)?,Development cost
What tradeoffs should we consider when optimizing our code for performance, maintainability, and debuggability?,Development cost
Which metrics should we use to estimate how long it will take to develop a feature, and how good is each one?,Development cost
Are the benefits of this refactoring worth the time investment?,Development cost
How does the size of a code change correlate with risk?,Development cost
How much do design changes cost us and how can we reduce their risk?,Development cost
How much does adding an extra feature impact our ship time?,Development cost
How much effort was put into this code?,Development cost
How much time and money does it cost to add customer input into your design?,Development cost
Is this worth my time?,Development cost
What are the tradeoffs between agility and code quality in cloud services?,Development cost
What are the tradeoffs to adding runtime telemetry to software?,Development cost
What is the cost of leaving dead code around?,Development cost
What is the cost of scenario-focused engineering?,Development cost
What is the cost to team productivity when a team member leaves?,Development cost
What is the cost to team productivity when hiring a new team member?,Development cost
What is the impact and/or cost of findings bugs at a certain stage in the development cycle?,Development cost
What is the tradeoff between frequency and high-quality when releasing software?,Development cost
How much effort does it take to move code between branches?,Development cost
How does Agile methodology affect our software project (e.g., maintainability, refactoring, innovation, milestone planning, software quality, and inter-team dependencies)?,Engineering process
How does having a consistent, company-wide software process and tool chain impact creativity?,Engineering process
What coding and design patterns are used most often, how much do they vary between teams?,Engineering process
How does the ratio of different roles (e.g., managers, leads, individual contributors, vendors) affect a project and its software process?,Engineering process
Am I following all development conventions ,Engineering process
When should we use distributed verson control (e.g., git) vs. centralized version control (e.g., Source Depot, TFS)?,Engineering process
Which branching structure is most effective for our project (single branch, multple branches, hierarchical branches)?,Engineering process
What is the optimal number of employees (e.g. SDE, SDET, PM) to do a code review?,Engineering process
